TransBySubCat1,TransBySubCat1.TransactionDateTime,TransBySubCat1.Net_Amount
OTBIS.Web.Models.TransBySubCat1,"23/10/2022 00:00:00",7064.78
OTBIS.Web.Models.TransBySubCat1,"24/10/2022 00:00:00",2346.61
OTBIS.Web.Models.TransBySubCat1,"25/10/2022 00:00:00",3445.33
OTBIS.Web.Models.TransBySubCat1,"26/10/2022 00:00:00",5438.62
OTBIS.Web.Models.TransBySubCat1,"27/10/2022 00:00:00",5930.28
OTBIS.Web.Models.TransBySubCat1,"28/10/2022 00:00:00",6748.23
OTBIS.Web.Models.TransBySubCat1,"29/10/2022 00:00:00",9533.01
OTBIS.Web.Models.TransBySubCat1,"30/10/2022 00:00:00",8897.27
OTBIS.Web.Models.TransBySubCat1,"31/10/2022 00:00:00",10279.61
OTBIS.Web.Models.TransBySubCat1,"01/11/2022 00:00:00",12366.05
OTBIS.Web.Models.TransBySubCat1,"02/11/2022 00:00:00",10774.45
OTBIS.Web.Models.TransBySubCat1,"03/11/2022 00:00:00",8702.38
OTBIS.Web.Models.TransBySubCat1,"04/11/2022 00:00:00",7361.74
OTBIS.Web.Models.TransBySubCat1,"05/11/2022 00:00:00",4064.08
OTBIS.Web.Models.TransBySubCat1,"06/11/2022 00:00:00",4287.78
OTBIS.Web.Models.TransBySubCat1,"07/11/2022 00:00:00",1134.56
OTBIS.Web.Models.TransBySubCat1,"08/11/2022 00:00:00",1522.86
OTBIS.Web.Models.TransBySubCat1,"09/11/2022 00:00:00",1965.88
OTBIS.Web.Models.TransBySubCat1,"10/11/2022 00:00:00",2249.51
OTBIS.Web.Models.TransBySubCat1,"11/11/2022 00:00:00",2825.78
OTBIS.Web.Models.TransBySubCat1,"12/11/2022 00:00:00",6642.87
OTBIS.Web.Models.TransBySubCat1,"13/11/2022 00:00:00",4052.32
OTBIS.Web.Models.TransBySubCat1,"14/11/2022 00:00:00",1682.86
OTBIS.Web.Models.TransBySubCat1,"15/11/2022 00:00:00",1290.37
OTBIS.Web.Models.TransBySubCat1,"16/11/2022 00:00:00",1993.35
OTBIS.Web.Models.TransBySubCat1,"17/11/2022 00:00:00",2013.88
OTBIS.Web.Models.TransBySubCat1,"18/11/2022 00:00:00",3597.88
OTBIS.Web.Models.TransBySubCat1,"19/11/2022 00:00:00",5066.41
OTBIS.Web.Models.TransBySubCat1,"20/11/2022 00:00:00",4762.90
OTBIS.Web.Models.TransBySubCat1,"21/11/2022 00:00:00",1981.59
OTBIS.Web.Models.TransBySubCat1,"22/11/2022 00:00:00",2309.07
